0.3996707;0.00658941;0.81143045
0.42788762;0.32737993;0.13830564
0.1389098;0.0207637;0.82493763
0.49006457;0.27177696;0.87239129
0.75683177;0.01758895;0.42689382
0.11007855;0.50070249;0.13269444
0.30359668;0.8131612;0.90542066
0.22601737;0.39141474;0.76397512
0.92164487;0.55896791;0.05851286
0.62233116;0.48275795;0.40263632
0.28500867;0.29391252;0.88558596
0.19377024;0.05990281;0.5215296
0.32333908;0.64482978;0.33344411
0.10462794;0.5411605;0.17363779
0.59023642;0.21044627;0.89375521
